,rank,singer,title,url,album,genre,lang,views,lyrics
0,1,Anuel AA,Mejor Que Yo (part. DJ Luian y Mambo Kingz) [explícita],https://www.letras.com/anuel/mejor-que-yo-part-dj-luian-y-mambo-kingz/,,reggaeton,es,114305.0,"(Real hasta la muerte, baby) (Real hasta la muerte, baby) (Uh-ah, uh-ah) Desde hace tiempo que no nos comemos Ya tienes novio, te echo de menos Él no te entiende como yo te entiendo Y ni te lo mete como yo te lo meto Mejor que yo, él nunca va a ser, no Ni anotando mis truquitos en un papel, yeah Como yo, nunca te va a hacer el amor, no Lo que perdiste en mí lo estás buscando en él, eh Mejor que yo, él nunca va a ser, no Ni anotando mis truquitos en un papel, yeah Lo único que tenemo' en común él y yo Es que los dos te lo llegamos a meter, eh No, oh-oh-oh No, mejor que yo, aquel nunca va a ser, no No-oh-oh No, mejor que yo, aquel nunca va a ser Cuando él te la mama, te acuerdas de mí La lengua no le trabaja como yo te hacía venir Pensándome en la cama, no te dejo ni dormir No es lo mismo sin un gánster como yo encima de ti Dime si te aprieta bien la' nalga' Si, mientras te lo mete, te lambe la cara Si te habla tan sucio que hizo que tú squirtearas Dime si hizo que temblara' y que la cama la mojara', baby Cuando tú se lo mama', no me hagas reír Ese malparido, mami, no me llega a mí Baby, dime qué hizo él que yo no pude hacerte a ti Si, na' ma' hablándote al oído, sin chingar, te hice venir En cuatro, yo te muerdo el cuello Te lo meto y te jalo el pelo Baby, te extraño y no te miento No te guardo resentimiento, uh-ah, uh-ah Baby, desde hace tiempo que no nos comemos Ya tienes novio, te echo de menos Él no te entiende como yo te entiendo Y ni te lo mete como yo te lo meto Mejor que yo, él nunca va a ser, no Ni anotando mis truquitos en un papel, yeah Como yo, nunca te va a hacer el amor, no Lo que perdiste en mí lo estás buscando en él, eh Mejor que yo, él nunca va a ser, no Ni anotando mis truquitos en un papel, yeah Lo único que tenemo' en común él y yo Es que los dos te lo llegamos a meter Ese cabrón no te lo mete como yo Hablando mierda de mí, ya no, eso nunca se me olvidó Así que si yo lo pillo, baby No te molestes conmigo, baby Yo te lo metía como un diablo, pero te hacía el amor Terminamo' de chingar, en mi ropa, quedó tu olor Quiero metértela otra ve', bebé, no te guardo rencor Tú ere' mía, aunque tú ande' con ese jodío' cabrón Uh-ah Comiéndote la medialuna Tus ojos se achican cuando fuma' El totito se perfuma Baby, como tú, ninguna Comiéndote la medialuna Tus ojos se achican cuando fuma' El totito se perfuma Baby, como tú, ninguna Desde hace tiempo que no nos comemos Ya tienes novio, te echo de menos Él no te entiende como yo te entiendo Y ni te lo mete como yo te lo meto Mejor que yo, él nunca va a ser, no Ni anotando mis truquitos en un papel, yeah Como yo, nunca te va a hacer el amor, no Lo que perdiste en mí lo estás buscando en él, eh Mejor que yo, él nunca va a ser, no Ni anotando mis truquitos en un papel, yeah Lo único que tenemo' en común él y yo Es que los dos te lo llegamos a meter, eh No, no-oh-oh No, mejor que yo, aquel nunca va a ser, no No-oh-oh No, mejor que yo, aquel nunca va a ser Uh-ah, uh-ah Real hasta la muerte, baby Real hasta la muerte, baby Bebecita Bebé, bebecita Oh-oh, oh-oh (Doble A) Oh-oh-oh, oh-oh-oh, oh (Anuel) Mambo Kingz Mera, dime, Luian (Jowny) (Uh-ah, uh-ah) Brrr"
1,2,Grupo Frontera,un x100to (part. Bad Bunny),https://www.letras.com/grupo-frontera/un-x100to-part-bad-bunny/,,regional,es,296023.0,"Me queda un porciento Y lo usaré solo para decirte lo mucho que lo siento Que si me ven con otra en una disco solo es perdiendo el tiempo Baby, ¿pa’ qué te miento? Eso de que me vieron feliz, no, no es cierto Ya nada me hace reír Solo cuando veo las fotos Y los vídeos que tengo de ti Salí con otra para olvidarte Y tenía el perfume que te gusta a ti Prendo para irme a dormir Porque duermo mejor si sueño que estás aquí Si supieras que te escribí No he mandado los mensajes, siguen todos ahí ¡Guau! Qué mucho me ha costa’o Quizás te hice un favor cuando me fui de tu lado Borracho, viendo tus fotos Me duele ver que tú sí has mejorado No tienes días grises Ya no te duelen las cicatrices Y yo pensando si decirte que Me queda un porciento Y lo usaré solo para decirte lo mucho que lo siento Que si me ven con otra en una disco solo es perdiendo el tiempo Baby, ¿pa’ qué te miento? Eso de que me vieron feliz, no, no es cierto Ey, hace tiempo no pensaba en ti Borracho, a tu Insta, me metí Baby, ya yo sé, que a ti te va bien Que de mí tú no quieres saber, ey, ey Viviendo en un infierno que yo mismo incendié Jugando contigo como si fuese el die’ Siento que ya no estoy en tu corazón Ahora estoy en tus pie’ Rogándote En el tequila, ahogándome Los muchacho’ están invitándome a salir La paso bien, pero siempre termino extrañándote En el tequila, ahogándome, ey Las morritas texteándome, ey Que dónde es la peda hoy, pero Me queda un porciento Y lo usaré solo para decirte lo mucho que lo siento Que si me ven con otra en una disco solo es perdiendo el tiempo Baby, ¿pa’ qué te miento? Eso de que me vieron feliz no es cierto, ey Y esto es Grupo Frontera Y el compa Bad Bunny"
2,3,FIFTY FIFTY,Cupid (Twin Version),https://www.letras.com/fifty-fifty/cupid-twin-version/,The Beginning: Cupid,k-pop,en,76579.0,"A hopeless romantic all my life Surrounded by couples all the time I guess I should take it as a sign (Ah, why? Ah, why? Ah, why? Ah, why?) I'm feeling lonely (lonely) Oh, I wish I'd find a lover that could hold me (hold me) Now I'm crying in my room So skeptical of love (say what you say, but I want it more) But still I want it more, more, more I gave a second chance to cupid But now I'm left here feeling stupid Oh, the way he makes me feel that love isn't real Cupid is so dumb I look for his arrows everyday I guess he got lost or flew away Waiting around is a waste (waste) Been counting the days since November Is loving as good as they say? Now I'm so lonely (lonely) Oh, I wish I'd find a lover that could hold me (hold me) Now I'm crying in my room So skeptical of love (say what you say, but I want it more) But still I want it more, more, more I gave a second chance to cupid But now I'm left here feeling stupid Oh, the way he makes me feel that love isn't real Cupid is so dumb (Cupid is so dumb) Hopeless girl is seeking someone who will share this feeling I'm a fool, a fool for love, a fool for love I gave a second chance to cupid But now I'm left here feeling stupid Oh, the way he makes me feel that love isn't real Cupid is so dumb I gave a second chance to cupid But now I'm left here feeling stupid Oh, the way he makes me feel that love isn't real Cupid is so dumb"
3,4,Eslabon Armado,Ella Baila Sola (part. Peso Pluma),https://www.letras.com/eslabon-armado/ella-baila-sola-part-peso-pluma/,Ella Baila Sola,regional,es,137514.0,"Compa, ¿qué le parece esa morra? La que anda bailando sola, me gusta pa' mí Bella, ella sabe que está buena Que todos andan mirándola cómo baila Me acerco y le tiro todo un verbo Tomamos tragos sin peros, solo tentación Le dije: Voy a conquistar tu familia Que, en unos días, vas a ser mía Me dijo que estoy muy loco, pero le gusta Que ningún vato, como yo, actúa Y ahí te va, mija Y pura doble P, viejo Así nomás, compa Pedro Puro Eslabon Armado Pa' las plebitas ¡Cha-chau! No soy un vato que tiene varo Pero hablando del corazón, te cumplo todo Me agarró pеgadito de su mano Mi compa ni se la creyó, quе al pasar fui yo Su cuerpo, juro por Dios, que era tan perfecto Su cinturita como modelo Sus ojos desde el principio me enamoraron A ella le gusto y a mí me gusta"
4,5,Montesanto,Santo Es El Que Vive,https://www.letras.com/montesanto/santo-es-el-que-vive/,,gospelreligioso,es,37635.0,"Santo es el que vive, santo es el que reina Santo en las alturas, santo aquí en la tierra Santo en el pesebre, santo en el sepulcro Santa es su sangre derramada en la cruz Santo es el que vive, santo es el que reina Santo en las alturas, santo aquí en la tierra Santo en el pesebre, santo en el sepulcro Santa es su sangre derramada en la cruz Corrió su sangre por el madero A Él no lo mataron, se entregó primero De tal manera amó Jesús Que entregó su vida en la Cruz No dijo nada, no abrió su boca Le hieren, le golpean, pero Él perdona De tal manera amó Jesús Que entregó su vida en la cruz Santo es el que vive, santo es el que reina Santo en las alturas, santo aquí en la tierra Santo en el pesebre, santo en el sepulcro Santa es su sangre derramada en la cruz Santo es el que vive, santo es el que reina Santo en las alturas, santo aquí en la tierra Santo en el pesebre, santo en el sepulcro Santa es su sangre derramada en la cruz Santo, santo, santo El Cordero y León Todo ojo verá Toda rodilla se doblará Ante el Cordero y León Todos lo verán, como Rey en las nubes volverá Coronado en Poder y Autoridad El Cordero y León reinará Todos lo verán, como Rey en las nubes volverá Coronado en Poder y Autoridad El Cordero y León reinará Todos lo verán, como Rey en las nubes volverá Coronado en Poder y Autoridad El Cordero y León reinará Todos lo verán, como Rey en las nubes volverá Coronado en Poder y Autoridad El Cordero y León reinará Santo es el que vive, santo es el que reina Santo en las alturas, santo aquí en la tierra Santo en el pesebre, santo en el sepulcro Santa es su sangre derramada en la cruz Santo es el que vive, santo es el que reina Santo en las alturas, santo aquí en la tierra Santo en el pesebre, santo en el sepulcro Santa es su sangre derramada en la cruz Todos lo verán, como Rey en las nubes volverá Coronado en Poder y Autoridad El Cordero y León reinará Todos lo verán, como Rey en las nubes volverá Coronado en Poder y Autoridad El Cordero y León reinará Todos lo verán, como Rey en las nubes volverá Coronado en Poder y Autoridad El Cordero y León reinará Todos lo verán, como Rey en las nubes volverá (Él regresará) Coronado en Poder y Autoridad (con coronas de autoridad) El Cordero y León reinará Reinará Nos unimos al cántico nuevo, al cántico nuevo Que se canta en el cielo Y le dice Santo al Cordero Nos unimos al cántico nuevo, al cántico del cielo Que le canta al Cordero Y le dice Santo Santo, santo, santo, santo es Jesús de Nazareth Santo, santo, santo, santo es Jesús de Nazareth Santo, santo, santo, santo es Jesús de Nazareth Santo, santo, santo, santo es Jesús de Nazareth Santo, santo, santo, santo es Jesús de Nazareth Santo, santo, santo, santo es Jesús de Nazareth Santo, santo, santo, santo es Jesús de Nazareth Santo, santo, santo, santo es Jesús de Nazareth Todos lo verán, como Rey en las nubes volverá  Coronado en Poder y Autoridad El Cordero y León reinará Todos lo verán, como Rey en las nubes volverá  Coronado en Poder y Autoridad El Cordero y León reinará Santo es el que vive, santo es el que reina Santo en las alturas, santo aquí en la tierra Santo en el pesebre, santo en el sepulcro Santa es su sangre derramada en la cruz Santo es el que vive, santo es el que reina Santo en las alturas, santo aquí en la tierra Santo en el pesebre, santo en el sepulcro Santa es su sangre derramada en la cruz Alguien tiene que decirle Alguien tiene que alabarte Alguien tiene que exaltarte Santo, santo Alguien tiene que decirte Santo, santo, santo, santo Santo, santo, santo, santo Alguien tiene que gritar Alguien tiene que exaltarte Santo, santo, santo, santo Santo, santo, santo, santo Santo, santo, santo, santo es Jesús de Nazareth Santo, santo, santo, santo Santo, santo, santo, santo es Jesús de Nazareth"
5,6,Yng Lvcas,La Bebe (remix) (part. Peso Pluma),https://www.letras.com/yng-lvcas/la-bebe-remix-part-peso-pluma/,,reggaeton,es,73008.0,"Desafánate, loca, luego, empápate De mi cuerpo mójate, usted sabe, en el Benz móntate ¿Qué lo qué?, mi bebé en el Mercedes-Benz Las estrellas en el techo, ya estelar se fue Pero sabes tú que esta noche estás pa' mí Ven, trépate encima de mí, manda la ubi, paso por ti Quierе que le ponga música Pa' que, bailе hasta abajo, la bebé Bebimos par de botellas Y, aun así, recuerda que lo hicimo' ayer Quierе que le ponga música Pa' que, bailе hasta abajo, la bebé Bebimos par de botellas Y, aun así, recuerda que lo hicimo' ayer No se le ha olvidado cómo la pasamos Fuimos a la disco y los dos bailamos pegados Como perros pegados, besos y un par de tragos Se quedó a mi lado y dijo: Creo me he enamorado Ella fuma, ella toma Es diablita, chiquita, pero picosa Me encanta cuando el pantalón me lo roza A ella le encanta, se ve en su cara, lo goza Tiene novio y no se comporta Me dice: Tranqui, que la relación 'tá rota Nuestros cuerpo' chocan y chocan Se juntan las boca', los leggings la ahorcan Quierе que le ponga música Pa' que, bailе hasta abajo, la bebé Bebimos par de botellas Y, aun así, recuerda que lo hicimo' ayer Quierе que le ponga música Pa' que, bailе hasta abajo, la bebé Bebimos par de botellas Y, aun así, recuerda que lo hicimo' ayer Ayer, ayer, te movías muy bien, muy bien Se impregnó el olor de Chanel 'Tamos mil grados Fahrenheit Está buena y de cara bonita Le pones música y solita se excita Pa' la fiesta nunca se limita Par de amigas, completa la cuadrilla Pero tú, mamá, sabes, me mama' Loca, ven pa'cá, pégate hasta atrás Nos vamos tú y yo en un viaje fugaz Interestelar, comerte toda Fumaremos los dos marihuana En el cuarto, en la azotea y en mi cama Nena, creo te llaman, contesta mañana Que no se apague la llama En el AMG escuchando Ruedas de Cristal Quemando veneno que me trae volando, ma Besito a la Barbie, pa' que baile pega'o Ojitos chinitos como puki de Taiwán Como puki de Taiwán Como puki de Taiwán Esa pussy me la como cuando yo quiera, mami, ma Desafánate, loca, luego, empápate  De mi cuerpo mójate, usted sabe, en el Benz móntate ¿Qué lo qué?, mi bebé en el Mercedes-Benz  Las estrellas en el techo, ya estelar se fue Uy, quierе que le ponga música Pa' que, bailе hasta abajo, la bebé Bebimos par de botellas Y, aun así, recuerda que lo hicimo' ayer Quierе que le ponga música Pa' que, bailе hasta abajo, la bebé Bebimos par de botellas Y, aun así, recuerda que lo hicimo' ayer Hoy es noche de estar soltera Le gusta el perreo y bailarte cerca La Young Religion Los Holy Pit Lil Yng Es el remix"
6,7,Big One,Un Finde (part. FMK y Ke Personajes) (CROSSOVER #2),https://www.letras.com/big-one/un-finde-part-fmk-ke-personajes-crossover-2/,,reggaeton,es,48982.0,"Las flores que te regalé ya se marchitaron Las canciones que te dediqué pasaron de moda (This is the Big One) Siempre que hablo de amor, lo hago en tiempo pasado Pero me mata el deseo de tenerte ahora Y yo sigo con ganas de tenerte en mi cama Y que, cuando estés mal, me cuentes tus dramas Mientras voy aceptando que tú ya no me amas Al menos, regalame tu amor un fin de semana Que yo sigo extrañando ese culito en mi cama Y que, cuando estés mal, me cuentes tus dramas Mientras voy aceptando que tú ya no me amas Al menos, regalame tu amor un fin de semana El tiempo no es un BM pa' ponerlo en reversa Antes era te amo , pero hoy estamo' en la inversa Estoy pa' escribir la historia de los dos Las ganas me sobran, pero faltas vos Y antes era sexo daily, como Justin y Hailey Dos botellas de Baileys para hacerte mi baby Te ponías la mini, te quedaba divi Y ahora to' los trend' son Cupido de Tini No hay nadie más que pueda darle vida a este corazón Y, aunque sea, la soledad Me duele menos que estar junto' sin tu amor Y yo sigo con ganas de tenerte en mi cama Y que, cuando estés mal, me cuentes tus dramas Mientras voy aceptando que tú ya no me amas Al menos regalame tu amor un fin de semana No hay nadie más que pueda darle vida a este corazón Y, aunque sea, la soledad Me duele menos que estar junto' sin tu amor Me olvidé como besabas, vení a recordármelo Tal vez el viernes, vos quieras verme y me des tu amor"
7,8,Ed Sheeran,Perfect,https://www.letras.com/ed-sheeran/perfect/,÷ (Divide),pop,en,1805426.0,"I found a love for me Darling, just dive right in and follow my lead I found a girl, beautiful and sweet I never knew you were the someone waiting for me 'Cause we were just kids when we fell in love Not knowing what it was I will not give you up this time Darling, just kiss me slow Your heart is all I own And in your eyes, you're holding mine Baby, I'm dancing in the dark With you between my arms Barefoot on the grass Listening to our favorite song When you said you looked a mess I whispered underneath my breath But you heard it Darling, you look perfect tonight I found a woman, stronger than anyone I know She shares my dreams, I hope that someday I'll share her home I found a lover to carry more than just my secrets To carry love, to carry children of our own We are still kids, but we're so in love Fighting against all odds I know we'll be alright this time Darling, just hold my hand Be my girl, I'll be your man I see my future in your eyes Baby, I'm dancing in the dark With you between my arms Barefoot on the grass Listening to our favorite song When I saw you in that dress Looking so beautiful I don't deserve this Darling, you look perfect tonight Baby, I'm dancing in the dark With you between my arms Barefoot on the grass Listening to our favorite song I have faith in what I see Now I know I have met an angel in person And she looks perfect I don't deserve this You look perfect tonight"
8,9,Arctic Monkeys,Do I Wanna Know?,https://www.letras.com/arctic-monkeys/do-i-wanna-know/,Do I Wanna Know?,indie,en,1016804.0,"Have you got colour in your cheeks? Do you ever get that fear that you can't shift The type that sticks around like summat in your teeth? Are there some aces up your sleeve? Have you no idea that you're in deep? I dreamt about you nearly every night this week How many secrets can you keep? 'Cause there's this tune I found That makes me think of you somehow And I play it on repeat Until I fall asleep Spilling drinks on my settee (Do I wanna know) If this feeling flows both ways? (Sad to see you go) Was sorta hoping that you'd stay (Baby, we both know) That the nights were mainly made For saying things that you can't say tomorrow day Crawling back to you Ever thought of calling when you've had a few? 'Cause I always do Maybe I'm too busy being yours to fall for somebody new Now, I've thought it through Crawling back to you So, have you got the guts? Been wondering if your heart's still open And if so, I wanna know what time it shuts Simmer down and pucker up I'm sorry to interrupt, it's just I'm constantly on the cusp Of trying to kiss you I don't know if you feel the same as I do But we could be together if you wanted to (Do I wanna know) If this feeling flows both ways? (Sad to see you go) Was sorta hoping that you'd stay (Baby, we both know) That the nights were mainly made For saying things that you can't say tomorrow day Crawling back to you (crawling back to you) Ever thought of calling when you've had a few? (You've had a few?) 'Cause I always do ('cause I always do) Maybe I'm too (maybe I'm too busy) Busy being yours (being yours) To fall for somebody new Now, I've thought it through Crawling back to you (Do I wanna know) If this feeling flows both ways? (Sad to see you go) Was sorta hoping that you'd stay (Baby, we both know) That the nights were mainly made For saying things that you can't say tomorrow day (Do I wanna know?) Too busy being yours to fall (Sad to see you go) Ever thought of calling, darling? (Do I wanna know?) Do you want me crawling back to you?"
9,10,Coldplay,Yellow,https://www.letras.com/coldplay/8091/,Acoustic,poprock,en,1140396.0,"Look at the stars Look how they shine for you And everything you do Yeah, they were all yellow I came along I wrote a song for you And all the things you do And it was called Yellow So, then, I took my turn Oh, what a thing to have done And it was all yellow Your skin Oh, yeah, your skin and bones Turn into something beautiful Do you know You know I love you so? You know I love you so? I swam across I jumped across for you Oh, what a thing to do 'Cause you were all yellow I drew a line I drew a line for you Oh, what a thing to do And it was all yellow And your skin Oh, yeah, your skin and bones Turn into something beautiful Do you know For you, I'd bleed myself dry? For you, I'd bleed myself dry It's true Look how they shine for you Look how they shine for you Look how they shine for Look how they shine for you Look how they shine for you Look how they shine Look at the stars Look how they shine for you And all the things that you do"
